COMPLAINT ID,COMPLAINT TYPE,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date
DOECOMP1781,Noise Complaint,111,,N,WABASH,AVE,55,10/16/1998,SAX PLAYER PLAYING LOUD MUSIC VERY DISTURBING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP2080,Noise Complaint,11800,,S,WESTERN,AVE,56,06/30/2003,PUBIC WAY                           THE NOISE IS COMING FROM THE BUS EVERY DAY ALL DAY LONG. I DID NOT OBSERVED ANY BUS COMPANY ON THE PUBLIC WAY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP3745,Noise Complaint,1325,,W,WRIGHTWOOD,AVE,81,09/19/2007,MAEVE BAR                           VERY LOUD NOISE COMING FROM FACILITY. OBSERVED NO NOISE AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP5251,Noise Complaint,1500,,W,OGDEN,AVE,81,07/26/2000,MOUNT SINAI HOSPITAL                VERY LOUD NOISE GENERATED FROM A/C UNIT. I PER- FORMED SOUND LEVEOL PRESSURE TESTING WHICH PRODUCE A DECIBEL LEVEL OF 66 DBA.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP5737,Noise Complaint,1540,,N,MILWAUKEE,AVE,77,07/18/2003,SINIBAR                             VERY LOUD NOISE FROM BAR AFTER 10 PM - 2 AM. MUSIC WAS AUDIBLE ON THE PUBLIC WAY BUT DID NOT EXCEED CODE LIMITS PER 11-4-1110.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP6879,Noise Complaint,1750,,W,BELMONT,AVE,15,06/22/1993,RENOVATING THE BLDG. START WORK WITH LOUD EQUIP MENT BEFORE 8:00 A.M. BRICKS ARE FALLING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP7478,Noise Complaint,1840,,W,NORTH,AVE,81,08/06/2004,IGGY'S RESTAURANT BAR               LOUD MUSIC. FOUND BOTH UPPER AND GROUND LEVEL BEER GARDENS OCCUPID WITH PATRONS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP7547,Noise Complaint,1825,,W,LAWRENCE,AVE,35,03/28/1995,1ST BANK OF CHICAGO                 DOING CONSTRUCTION WORK BEFORE ORDINANCE HOURS 7:00 AM VERBAL WARNING GIVEN.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP8281,Noise Complaint,1951,,W,BELLE PLAINE,AVE,16,08/04/1994,DOGS BARKING ALL NIGHT CAUSING NAUISANCE PROBLEM FROM THE NEIGHBORS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP8573,Noise Complaint,1970,,N,CLYBOURN,AVE,16,03/25/1993,LOUD BLASTING/EXPLOSIVE THAT SHAKE WINDOWS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP8607,Noise Complaint,1939,,N,HUDSON,AVE,24,11/18/1993,CA 920-660 COURT DATE 1/25/94 FOR VERY LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP10511,Noise Complaint,2301,,W,CHICAGO,AVE,110,08/10/2005,SAK'S LOUNGE                        A/C SYSTEM ON TOP OF RESTAURANT CAUSING VERY LOUD NOISE. (SEE REPORT FROM 8/12/2005).,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP10918,Noise Complaint,2251,,W,ST PAUL,AVE,22,03/05/1998,DOING CONST. WORK BEFORE ORDINANCE HOURS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP11340,Noise Complaint,2417,,N,MILWAUKEE,AVE,35,08/18/1994,EARLY GARBAGE PICK-UP 4:30 AM THURSDAY MORNING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP12727,Noise Complaint,2639,,W,GRAND,AVE,15,05/06/1993,CA 921-293 COURT DATE 7/2/93 FOR LOUD NOISE NUISANCE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
