Indicator,Year,Geo_Group,Geo_ID,Number,Percent
Non-Hispanic White,2012-2016,Rogers Park,1,"23,604",42.5
Non-Hispanic White,2012-2016,West Ridge,2,"31,806",43.1
Non-Hispanic White,2012-2016,Uptown,3,"30,456",54.1
Non-Hispanic White,2012-2016,Lincoln Square,4,"26,554",64
Non-Hispanic White,2012-2016,North Center,5,"26,996",77.3
Non-Hispanic White,2012-2016,Lakeview,6,"78,859",79
Non-Hispanic White,2012-2016,Lincoln Park,7,"53,151",79
Non-Hispanic White,2012-2016,Near North Side,8,"62,243",72.1
Non-Hispanic White,2012-2016,Edison Park,9,"9,893",88.7
Non-Hispanic White,2012-2016,Norwood Park,10,"34,172",82.6
Non-Hispanic White,2012-2016,Jefferson Park,11,"17,155",64.1
Non-Hispanic White,2012-2016,Forest Glen,12,"13,655",73.3
Non-Hispanic White,2012-2016,North Park,13,"9,642",51.4
Non-Hispanic White,2012-2016,Albany Park,14,"14,932",29
Non-Hispanic White,2012-2016,Portage Park,15,"31,778",49.3
Non-Hispanic White,2012-2016,Irving Park,16,"22,975",41.5
Non-Hispanic White,2012-2016,Dunning,17,"27,862",64.1
Non-Hispanic White,2012-2016,Montclare,18,"4,032",31
Non-Hispanic White,2012-2016,Belmont Cragin,19,"10,879",13.9
Non-Hispanic White,2012-2016,Hermosa,20,"1,900",7.8
Non-Hispanic White,2012-2016,Avondale,21,"11,898",31.2
Non-Hispanic White,2012-2016,Logan Square,22,"33,354",44.7
Non-Hispanic White,2012-2016,Humboldt Park,23,"3,258",5.8
Non-Hispanic White,2012-2016,West Town,24,"49,729",58.9
Non-Hispanic White,2012-2016,Austin,25,"4,407",4.5
Non-Hispanic White,2012-2016,West Garfield Park,26,277,1.6
Non-Hispanic White,2012-2016,East Garfield Park,27,"1,079",5.3
Non-Hispanic White,2012-2016,Near West Side,28,"26,071",41.7
Non-Hispanic White,2012-2016,North Lawndale,29,796,2.2
Non-Hispanic White,2012-2016,South Lawndale,30,"2,545",3.4
Non-Hispanic White,2012-2016,Lower West Side,31,"4,955",15
Non-Hispanic White,2012-2016,Loop,32,"21,691",62
Non-Hispanic White,2012-2016,Near South Side,33,"10,433",45
Non-Hispanic White,2012-2016,Armour Square,34,"1,572",11.5
Non-Hispanic White,2012-2016,Douglas,35,"2,356",11.5
Non-Hispanic White,2012-2016,Oakland,36,125,1.9
Non-Hispanic White,2012-2016,Fuller Park,37,83,3.5
Non-Hispanic White,2012-2016,Grand Boulevard,38,570,2.5
Non-Hispanic White,2012-2016,Kenwood,39,"2,925",17.1
Non-Hispanic White,2012-2016,Washington Park,40,48,0.4
Non-Hispanic White,2012-2016,Hyde Park,41,"12,539",47.2
Non-Hispanic White,2012-2016,Woodlawn,42,"2,062",7.9
Non-Hispanic White,2012-2016,South Shore,43,"1,326",2.7
Non-Hispanic White,2012-2016,Chatham,44,459,1.5
Non-Hispanic White,2012-2016,Avalon Park,45,37,0.4
Non-Hispanic White,2012-2016,South Chicago,46,672,2.4
Non-Hispanic White,2012-2016,Burnside,47,11,0.5
Non-Hispanic White,2012-2016,Calumet Heights,48,161,1.2
Non-Hispanic White,2012-2016,Roseland,49,417,1
Non-Hispanic White,2012-2016,Pullman,50,633,9.6
Non-Hispanic White,2012-2016,South Deering,51,781,5.3
Non-Hispanic White,2012-2016,East Side,52,"3,938",17.1
Non-Hispanic White,2012-2016,West Pullman,53,407,1.3
Non-Hispanic White,2012-2016,Riverdale,54,135,1.8
Non-Hispanic White,2012-2016,Hegewisch,55,"4,105",44.9
Non-Hispanic White,2012-2016,Garfield Ridge,56,"16,214",45.6
Non-Hispanic White,2012-2016,Archer Heights,57,"2,482",18.7
Non-Hispanic White,2012-2016,Brighton Park,58,"2,798",6.3
Non-Hispanic White,2012-2016,McKinley Park,59,"2,660",16.6
Non-Hispanic White,2012-2016,Bridgeport,60,"10,982",33.4
Non-Hispanic White,2012-2016,New City,61,"5,010",12.2
Non-Hispanic White,2012-2016,West Elsdon,62,"2,840",14.2
Non-Hispanic White,2012-2016,Gage Park,63,"1,432",3.5
Non-Hispanic White,2012-2016,Clearing,64,"11,672",46.3
Non-Hispanic White,2012-2016,West Lawn,65,"5,008",14.9
Non-Hispanic White,2012-2016,Chicago Lawn,66,"1,973",3.6
Non-Hispanic White,2012-2016,West Englewood,67,244,0.8
Non-Hispanic White,2012-2016,Englewood,68,204,0.8
Non-Hispanic White,2012-2016,Greater Grand Crossing,69,431,1.3
Non-Hispanic White,2012-2016,Ashburn,70,"5,044",11.7
Non-Hispanic White,2012-2016,Auburn Gresham,71,257,0.6
Non-Hispanic White,2012-2016,Beverly,72,"12,043",57.8
Non-Hispanic White,2012-2016,Washington Heights,73,170,0.6
Non-Hispanic White,2012-2016,Mount Greenwood,74,"15,730",82.7
Non-Hispanic White,2012-2016,Morgan Park,75,"9,689",33.5
Non-Hispanic White,2012-2016,O'Hare,76,"14,742",67.8
Non-Hispanic White,2012-2016,Edgewater,77,"30,615",55.2
Non-Hispanic White,2012-2016,Rogers Park,1,"22,769",41.9
Non-Hispanic White,2012-2016,West Ridge,2,"31,978",44.3
Non-Hispanic White,2012-2016,Uptown,3,"30,371",55.1
Non-Hispanic White,2012-2016,Lincoln Square,4,"26,405",64.8
Non-Hispanic White,2012-2016,North Center,5,"26,322",76
Non-Hispanic White,2012-2016,Lakeview,6,"78,186",79.6
Non-Hispanic White,2012-2016,Lincoln Park,7,"53,676",80.2
Non-Hispanic White,2012-2016,Near North Side,8,"61,334",71.6
Non-Hispanic White,2012-2016,Edison Park,9,"9,926",87.4
Non-Hispanic White,2012-2016,Norwood Park,10,"33,792",81.5
Non-Hispanic White,2012-2016,Jefferson Park,11,"17,761",65.1
Non-Hispanic White,2012-2016,Forest Glen,12,"13,242",71.8
Non-Hispanic White,2012-2016,North Park,13,"9,358",50.7
Non-Hispanic White,2012-2016,Albany Park,14,"15,349",29.5
Non-Hispanic White,2012-2016,Portage Park,15,"32,643",50.3
Non-Hispanic White,2012-2016,Irving Park,16,"22,650",40.1
Non-Hispanic White,2012-2016,Dunning,17,"28,340",65.9
Non-Hispanic White,2012-2016,Montclare,18,"3,615",27.9
Non-Hispanic White,2012-2016,Belmont Cragin,19,"11,298",14.3
Non-Hispanic White,2012-2016,Hermosa,20,"1,880",7.4
Non-Hispanic White,2012-2016,Avondale,21,"12,327",31
Non-Hispanic White,2012-2016,Logan Square,22,"32,784",44
Non-Hispanic White,2012-2016,Humboldt Park,23,"2,958",5.4
Non-Hispanic White,2012-2016,West Town,24,"49,892",58.3
Non-Hispanic White,2012-2016,Austin,25,"4,353",4.5
Non-Hispanic White,2012-2016,West Garfield Park,26,315,1.8
Non-Hispanic White,2012-2016,East Garfield Park,27,878,4.2
